model,n,n_graphs,approximation_ratio_mean,approximation_ratio_ci_low,approximation_ratio_ci_high,p_opt_mean,p_opt_ci_low,p_opt_ci_high,target_success_mean,target_success_ci_low,target_success_ci_high,n_evaluations_mean,n_evaluations_ci_low,n_evaluations_ci_high
rx,6,21,0.9929705210891238,0.9832199542298464,0.9999999995140283,0.9523809502559943,0.8857142837725572,0.9999999976062539,0.9523809523809523,0.8857142857142856,1.0,122.66666666666667,116.85714285714288,128.0764285714286
rx,8,21,0.9667113818222962,0.9523208776981994,0.9802241727108759,0.7428571414426053,0.6190476207255714,0.8571428543129702,0.7428571428571429,0.6285714285714286,0.8571428571428571,207.2095238095238,186.94285714285712,231.06738095238094
rx,10,21,0.9708034117451408,0.9586591374988458,0.9824789653795548,0.6761902930562776,0.5428569604537669,0.8095232653067927,0.6761904761904762,0.5428571428571428,0.8000000000000002,273.32380952380953,245.437380952381,309.41023809523807
rx,12,21,0.9718112358118302,0.9615182668216794,0.981548422729061,0.6476190447030282,0.5333333306951197,0.7619047580367012,0.6476190476190476,0.5333333333333333,0.7619047619047619,336.3714285714285,314.7038095238095,359.9164285714285
ry,4,11,0.9999999995223,0.999999999270785,0.9999999997024148,0.999999999121118,0.9999999988626325,0.9999999993708663,1.0,1.0,1.0,74.47272727272728,69.56318181818182,79.47272727272728
ry,6,21,0.9929705210891238,0.9832199541575843,0.9999999995099753,0.9523809502559943,0.8857142836627531,0.9999999976101359,0.9523809523809523,0.8857142857142856,1.0,122.66666666666667,116.71428571428571,128.0190476190476
ry,8,21,0.9667113818222962,0.9523889580005505,0.9800318315944696,0.7428571414426053,0.6190476202963513,0.847619046590842,0.7428571428571429,0.6190476190476192,0.8571428571428571,207.2095238095238,186.92357142857142,230.79095238095238
ry,10,21,0.9708034117451408,0.9586905544446608,0.9822165355422742,0.6761902930562776,0.5428567809294442,0.8095234460691503,0.6761904761904762,0.5428571428571428,0.8095238095238095,273.32380952380953,246.19976190476194,310.04190476190473
ry,12,21,0.9718112358118302,0.9614773938292603,0.9812961775753521,0.6476190447030282,0.5333333304653264,0.7619047576322195,0.6476190476190476,0.523809523809524,0.7523809523809524,336.3714285714285,314.55238095238093,359.90500000000003
ryrz,4,11,0.9999999997330324,0.9999999996090622,0.9999999998231565,0.9999999995553878,0.9999999994563707,0.999999999642528,1.0,1.0,1.0,111.38181818181819,100.43636363636365,125.80045454545456
ryrz,6,21,0.9916099771564436,0.9809523807335576,0.9999999998368593,0.9428571421344455,0.8666666660492737,0.9999999991706933,0.9428571428571427,0.8666666666666668,1.0,194.72380952380954,185.05690476190478,204.64761904761903
ryrz,8,21,0.9711395349221101,0.9573702168541296,0.9838163738911796,0.7714285351512067,0.6571428563622911,0.8761904044690231,0.7714285714285714,0.6571428571428573,0.8761904761904761,320.6190476190476,293.5602380952381,355.0766666666667
ryrz,10,21,0.9720863007369848,0.9600380754609881,0.9828297493137887,0.7047618808559034,0.5904761659603329,0.8190475715264384,0.7047619047619049,0.5904761904761904,0.8190476190476191,424.7904761904762,396.5902380952381,466.6107142857142
ryrz,12,21,0.9687188465521108,0.9589974918010895,0.9781294870329659,0.5999999772011205,0.4761904757473821,0.7142857130428933,0.6000000000000001,0.4761904761904763,0.7142857142857144,513.3619047619048,491.66619047619054,538.477619047619
